ParentLocation,Location,Year,Sex,Cause,CauseCode,Average Estimated Number of Deaths,Lower Estimated Number of Death,Higher Estimated Number of Death,Date,Time
Eastern Mediterranean,Afghanistan,2019,Both sexes,Ischaemic heart disease,ENVCAUSE113,12390.0,9236.0,15784.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Female,"Trachea, bronchus, lung cancers",ENVCAUSE068,135.6,108.0,162.8,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Both sexes,Chronic obstructive pulmonary disease,ENVCAUSE118,1841.0,1149.0,3154.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Male,Stroke,ENVCAUSE114,2021.0,1121.0,3279.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Female,Lower respiratory infections,ENVCAUSE039,2322.0,1720.0,2858.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Male,Lower respiratory infections,ENVCAUSE039,2734.0,1997.0,3388.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Male,"Trachea, bronchus, lung cancers",ENVCAUSE068,306.3,233.8,379.6,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Female,Stroke,ENVCAUSE114,3139.0,1816.0,4919.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Both sexes,"Trachea, bronchus, lung cancers",ENVCAUSE068,442.0,342.4,542.1,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Both sexes,Lower respiratory infections,ENVCAUSE039,5057.0,3713.0,6244.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Both sexes,Stroke,ENVCAUSE114,5160.0,2952.0,8177.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Female,Ischaemic heart disease,ENVCAUSE113,6193.0,4642.0,7847.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Male,Ischaemic heart disease,ENVCAUSE113,6197.0,4573.0,7931.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Male,Chronic obstructive pulmonary disease,ENVCAUSE118,888.2,535.5,1548.0,25/08/2022,16:00:00
Eastern Mediterranean,Afghanistan,2019,Female,Chronic obstructive pulmonary disease,ENVCAUSE118,952.9,612.5,1601.0,25/08/2022,16:00:00
Africa,Angola,2019,Female,Stroke,ENVCAUSE114,1152.0,606.9,1887.0,25/08/2022,16:00:00
